search URL:,https://patents.google.com/?q=bike
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US6234938B1,Magnetic device for use in exercise bicycle or other exercise machines ,Lai-Hao Chen,Lai-Hao Chen,1999-06-03,1999-06-03,2001-05-22,2001-05-22,https://patents.google.com/patent/US6234938B1/en
US5728029A,Bicycle exercise device ,"Minoura Co., Ltd.",Kohji Minoura,1996-07-10,1996-12-19,1998-03-17,1998-03-17,https://patents.google.com/patent/US5728029A/en
FR2824942A1,Bicycle fleet management system records user badge data in bicycle memory ,J C Decaux,"Gars Jacques Le, Jean Claude Gabosz, Gregoire Maille",2001-05-21,2001-05-21,2002-11-22,,https://patents.google.com/patent/FR2824942A1/en
US3803937A,Bicycle brake lever ,L Johnston,L Johnston,1972-12-08,1972-12-08,1974-04-16,1974-04-16,https://patents.google.com/patent/US3803937A/en
US5988403A,Bicycle display rack ,"Spencer Products, Inc.",Thomas J. Robideau,1997-09-19,1998-09-10,1999-11-23,1999-11-23,https://patents.google.com/patent/US5988403A/en
US5586624A,Fly wheel brake device for an exercise bicycle ,"Ko; Wen-Chung, Ko; Kent, Fu; Chin-Jen","Wen-Chung Ko, Kent Ko, Chin-Jen Fu",1995-09-01,1995-09-01,1996-12-24,1996-12-24,https://patents.google.com/patent/US5586624A/en
DE4123643A1,Bicycle with sprung wheels - has each damper connected to its pressure accumulator via manually-operated valve ,"Peter Kleinbreuer, Cornel Schmetzer","Peter Kleinbreuer, Cornel Schmetzer",1990-11-30,1991-07-17,1992-06-04,,https://patents.google.com/patent/DE4123643A1/en
US20030191567A1,Bicycle data acquisition ,Gentilcore Michael Leonard,Michael Gentilcore,2002-04-05,2002-04-05,2003-10-09,,https://patents.google.com/patent/US20030191567A1/en
US5967938A,Multiple speed bicycle having single drive sprocket ,"Benford; James R., Benford; Robert L.","James R. Benford, Robert L. Benford",1998-06-11,1998-06-11,1999-10-19,1999-10-19,https://patents.google.com/patent/US5967938A/en
US5785334A,Bicycle towable collapsible cart ,Robinson; Russell S.,Russell S. Robinson,1995-11-22,1995-11-22,1998-07-28,1998-07-28,https://patents.google.com/patent/US5785334A/en
US4892190A,Bicycle case ,Delgado Charles B,Charles B. Delgado,1989-06-19,1989-06-19,1990-01-09,1990-01-09,https://patents.google.com/patent/US4892190A/en
US3752375A,Vehicle-mounted bicycle carrier ,W Weigl,W Weigl,1971-02-16,1971-02-16,1973-08-14,1973-08-14,https://patents.google.com/patent/US3752375A/en
JP2003306186A,Bicycle with rfid tag and system and method for managing bicycle ,"Mitsubishi Materials Corp, 三菱マテリアル株式会社","Tsuguhiro Tsuboi, Masa Yonezawa, 嗣博 壷井, 政 米沢",2002-04-17,2002-04-17,2003-10-28,,https://patents.google.com/patent/JP2003306186A/en
US5951034A,Semi-recumbent bicycle and conversion kit ,Mayo; Todd T,Todd T Mayo,1997-03-21,1997-03-21,1999-09-14,1999-09-14,https://patents.google.com/patent/US5951034A/en
US5102153A,Snow cycle attachment for a bicycle frame ,Rhode Randall E,Randall E. Rhode,1990-09-17,1991-02-05,1992-04-07,1992-04-07,https://patents.google.com/patent/US5102153A/en
US6933836B2,Bike braking warning control ,Richard Hsu,Richard Hsu,2003-11-06,2003-11-06,2005-08-23,2005-08-23,https://patents.google.com/patent/US6933836B2/en
US5211075A,Handlebar mounted bike accessory ,Martin Rossman Linda D,Linda D. Martin-Rossman,1992-04-24,1992-04-24,1993-05-18,1993-05-18,https://patents.google.com/patent/US5211075A/en
DE19732430A1,Muscle-power electric hybrid vehicle such as bicycle ,Harald Kutze,Harald Kutze,1997-07-28,1997-07-28,1999-02-11,,https://patents.google.com/patent/DE19732430A1/en
DE102009045447A1,Hybrid drive for an electric bike ,Robert Bosch Gmbh,"Peter Kimmich, Philipp Kohlrausch, Mario Kustosch",2008-12-11,2009-10-07,2010-06-17,,https://patents.google.com/patent/DE102009045447A1/en
US20140335987A1,Bicycle sprocket ,Shimano Inc.,"Toru Iwai, Makoto SOUWA, Tetsu Nonoshita, Toyoshi Yoshida",2013-05-07,2013-12-26,2014-11-13,,https://patents.google.com/patent/US20140335987A1/en
US5244251A,Pneumatic seat for bicycle and method of manufacture ,Ilan Bourla,Ilan Bourla,1990-01-05,1991-04-12,1993-09-14,1993-09-14,https://patents.google.com/patent/US5244251A/en
US20030156950A1,Bicycle air pump ,Morris Ostrowiecki,Morris Ostrowiecki,2002-02-19,2002-02-19,2003-08-21,,https://patents.google.com/patent/US20030156950A1/en
US20110127706A1,Dampers for mountain bikes ,The University Of Sheffield,"Neil David SIMS, David Craig BATTERBEE",2008-07-16,2009-07-16,2011-06-02,,https://patents.google.com/patent/US20110127706A1/en
US4679811A,Bicycle rear suspension system ,Shuler Jerry N,Jerry N. Shuler,1986-06-26,1986-06-26,1987-07-14,1987-07-14,https://patents.google.com/patent/US4679811A/en
US8006993B1,Bicycle frame ,"Specialized Bicycle Components, Inc.",Jason L. Chamberlain,2010-05-14,2010-05-14,2011-08-30,2011-08-30,https://patents.google.com/patent/US8006993B1/en
US3802232A,Bicycle locking stand ,Echelon Corp,"J Mattson, D Herman",1973-03-15,1973-03-15,1974-04-09,1974-04-09,https://patents.google.com/patent/US3802232A/en
US5470092A,Bicycle frame ,Fardy; Paul,Paul Fardy,1994-07-11,1995-04-19,1995-11-28,1995-11-28,https://patents.google.com/patent/US5470092A/en
US6540648B1,Exerciser bike ,Yu-Chao Chao,Yu-Chao Chao,2000-08-23,2000-08-23,2003-04-01,2003-04-01,https://patents.google.com/patent/US6540648B1/en
US7131298B1,Bicycle lock with multiple cable loops ,Trek Bicycle Corporation,James Haraughty,2005-04-12,2005-04-12,2006-11-07,2006-11-07,https://patents.google.com/patent/US7131298B1/en
US4792882A,Bike brake light ,Pierre Guevremont,Pierre Guevremont,1987-05-26,1987-05-26,1988-12-20,1988-12-20,https://patents.google.com/patent/US4792882A/en
DE3513085A1,Bike lifter ,Rainer Abel,Rainer Abel,1985-04-12,1985-04-12,1986-10-30,,https://patents.google.com/patent/DE3513085A1/en
US5183281A,Bicycle frame element protector ,Stephens David M,David M. Stephens,1991-03-15,1991-03-15,1993-02-02,1993-02-02,https://patents.google.com/patent/US5183281A/en
US3891132A,Apparatus for transporting a bicycle on a vehicle ,Red Ant Products Inc,Roy L Chandler,1973-01-29,1973-01-29,1975-06-24,1975-06-24,https://patents.google.com/patent/US3891132A/en
WO2005044656A1,Combined gearshift and brake control assembly for a bicycle ,Salomon S.A.,"Bertrand Cauvin, Fabrice Augris, Karim Taieb, Franck Dumontier, Jean-Pierre Mercat",2003-11-04,2004-11-04,2005-05-19,,https://patents.google.com/patent/WO2005044656A1/en
DE3927086A1,Accessory for bicycle or perambulator - comprises e.g. basket attached by fastener which permits easy removal ,Rixen & Kaul Gmbh,"Edgar Rixen, Norbert Dipl Ing Flammann",1989-06-22,1989-08-17,1991-01-03,,https://patents.google.com/patent/DE3927086A1/en
US5380252A,Bicycle speed change assembly ,"Maeda Industries, Ltd., Bridgestone Cycle Co., Ltd.","Yoshihisa Iwasaki, Tohru Takeda, Masao Ohta",1990-12-08,1993-05-20,1995-01-10,1995-01-10,https://patents.google.com/patent/US5380252A/en
US20070119887A1,Bicycle carrier ,"Yakima Products, Inc.",Aaron Foley,2005-08-09,2006-08-09,2007-05-31,,https://patents.google.com/patent/US20070119887A1/en
US20070228687A1,Bicycle propulsion mechanism ,Rodger Parker,Rodger Parker,2006-03-17,2006-03-17,2007-10-04,,https://patents.google.com/patent/US20070228687A1/en
US7823300B2,Correlated magnetic footwear and method for using the correlated magnetic footwear ,"Cedar Ridge Research, Llc","Larry W. Fullerton, Mark D. Roberts",2008-05-20,2009-06-07,2010-11-02,2010-11-02,https://patents.google.com/patent/US7823300B2/en
US5690234A,Upright modular bike locker ,"Bike Gard, Inc.","Ronald J. Rhead, Randall D. Rhead, D. Kent Rhead",1996-09-06,1996-09-06,1997-11-25,1997-11-25,https://patents.google.com/patent/US5690234A/en
US5121937A,Suspension bicycle ,Mert Lawwill,Mert Lawwill,1990-12-13,1990-12-13,1992-06-16,1992-06-16,https://patents.google.com/patent/US5121937A/en
US3482851A,Standardbred racing bike ,Edgar C Pickard,Edgar C Pickard,1968-10-31,1968-10-31,1969-12-09,1969-12-09,https://patents.google.com/patent/US3482851A/en
US5435583A,"Clutch operated, bi-directional, bicycle gear box ","Foster, Jr.; James P.","James P. Foster, Jr.",1993-08-09,1993-08-09,1995-07-25,1995-07-25,https://patents.google.com/patent/US5435583A/en
US7490842B1,Folding bicycle ,Xootr Llc,"Karl T. Ulrich, Nathan T. Ulrich",2005-04-18,2006-04-18,2009-02-17,2009-02-17,https://patents.google.com/patent/US7490842B1/en
US5917407A,Unattended automated bicycle rental station ,"Squire; Joshua H. M., Degani; Yuval, Blakeman; David","Joshua H. M. Squire, Yuval Degani, David Blakeman",1997-05-15,1997-05-15,1999-06-29,1999-06-29,https://patents.google.com/patent/US5917407A/en
US6203042B1,Bicycle rear suspension system providing relative rearward motion of rear axle ,Trek Bicycle Corporation,Weston M. Wilcox,1998-02-20,1999-02-08,2001-03-20,2001-03-20,https://patents.google.com/patent/US6203042B1/en
US6568446B1,Pneumatic bicycle tire having protection against wear and reduced rolling resistance ,Continental Aktiengesellschaft,Rüdiger Schulte,1999-03-05,2000-03-06,2003-05-27,2003-05-27,https://patents.google.com/patent/US6568446B1/en
US6039676A,Training bike ,Clive; Stevens,Stevens Clive,1999-09-07,1999-09-07,2000-03-21,2000-03-21,https://patents.google.com/patent/US6039676A/en
US20040232650A1,Bicycle ,"Andreas Felsl, Stephan Albrecht","Andreas Felsl, Stephan Albrecht",2001-07-06,2002-06-04,2004-11-25,,https://patents.google.com/patent/US20040232650A1/en
US3800575A,Handlebar bicycle lock ,L Perret,L Perret,1972-12-07,1972-12-07,1974-04-02,1974-04-02,https://patents.google.com/patent/US3800575A/en
US20080219014A1,Bicycle bumper with a light generating a bike lane ,Byron Loibl,Byron Loibl,2007-03-08,2008-03-07,2008-09-11,,https://patents.google.com/patent/US20080219014A1/en
US5634439A,Bike rider balance belt ,O'brien; Richard,Richard O'Brien,1996-02-06,1996-02-06,1997-06-03,1997-06-03,https://patents.google.com/patent/US5634439A/en
CN101121427A,Harmonic wave deceleration electric bicycle ,王乐琳,朱永达,2006-08-11,2006-08-11,2008-02-13,,https://patents.google.com/patent/CN101121427A/en
US4915375A,Pedal attachment for an exercise bike ,Ginsburg Charles R,Charles R. Ginsburg,1989-07-12,1989-07-12,1990-04-10,1990-04-10,https://patents.google.com/patent/US4915375A/en
US5314207A,Bicycle with simulated motorcycle parts ,Roadmaster Corporation,"David K. Camfield, Daniel G. Hahn, Duane Niemeyer, Daniel F. Brashear",1992-06-10,1992-06-10,1994-05-24,1994-05-24,https://patents.google.com/patent/US5314207A/en
US4613146A,Monocoque bicycle frame ,"Sharp Timothy M, Stephan Donald C","Timothy M. Sharp, Donald C. Stephan",1984-05-03,1984-05-03,1986-09-23,1986-09-23,https://patents.google.com/patent/US4613146A/en
US8317261B2,Bicycle seat height adjusting assembly ,Austin A. Walsh,Austin A. Walsh,2010-11-03,2010-12-06,2012-11-27,2012-11-27,https://patents.google.com/patent/US8317261B2/en
US5222707A,Portable bicycle repair stand ,Myers David J,David J. Myers,1991-07-12,1991-11-12,1993-06-29,1993-06-29,https://patents.google.com/patent/US5222707A/en
US20070273125A1,Sectional bicycle ,Harry Appleman,Harry Appleman,2006-05-25,2007-01-30,2007-11-29,,https://patents.google.com/patent/US20070273125A1/en
US3625079A,Variable ratio mini bike drive ,Hoffco Inc,Stephen J Hoff,1970-09-21,1970-09-21,1971-12-07,1971-12-07,https://patents.google.com/patent/US3625079A/en
US5318344A,Detachable bike seat jacket ,Wang Sui Mu,Sui-Mu Wang,1992-11-25,1992-11-25,1994-06-07,1994-06-07,https://patents.google.com/patent/US5318344A/en
US5279184A,Shoe fixing device of bicycle pedal ,"Mikashima Industrial Co., Ltd.",Kouichiro Ogino,1992-12-29,1992-12-29,1994-01-18,1994-01-18,https://patents.google.com/patent/US5279184A/en
US20110121538A1,Fork assembly for a bicycle ,Michel Giroux,Michel Giroux,2008-06-06,2009-06-04,2011-05-26,,https://patents.google.com/patent/US20110121538A1/en
US6092706A,B.C. bicycle rack ,Bogan; Joel B.,Joel B. Bogan,1999-07-15,1999-07-15,2000-07-25,2000-07-25,https://patents.google.com/patent/US6092706A/en
US5851017A,Bicycle storage frame ,Eden; Tom,Tom Eden,1996-11-01,1996-11-01,1998-12-22,1998-12-22,https://patents.google.com/patent/US5851017A/en
US20070078886A1,Intellectual property asset manager (IPAM) for context processing of data objects ,"Rivette Kevin G, Rappaport Irving S, Luke Hohmann, David Puglia, Dewolfe Andrew S, David Goretsky, Adam Jackson, Scott Kurowski, Brian Park, Rabb Charles Jr, Brent Rosenquist, Matthew Scnitz, Smith David W, Thierry Paradan","Kevin Rivette, Irving Rappaport, Luke Hohmann, David Puglia, Andrew DeWolfe, David Goretsky, Adam Jackson, Scott Kurowski, Brian Park, Charles Rabb, Brent Rosenquist, Matthew Scnitz, David Smith, Thierry Paradan",1993-11-19,2006-08-31,2007-04-05,,https://patents.google.com/patent/US20070078886A1/en
US6368111B2,System and method for interactively simulating and discouraging drug use ,Juan Legarda,Juan Legarda,1997-06-24,1998-06-23,2002-04-09,2002-04-09,https://patents.google.com/patent/US6368111B2/en
US5606207A,Power generating apparatus for a bicycle ,Gotoh; Kazuhiko,Kazuhiko Gotoh,1995-04-11,1995-04-11,1997-02-25,1997-02-25,https://patents.google.com/patent/US5606207A/en
US5254044A,Control system for adjusting bicycle gear ratios ,Anderson Paul M,Paul M. Anderson,1991-10-07,1991-10-07,1993-10-19,1993-10-19,https://patents.google.com/patent/US5254044A/en
US20050253357A1,Bicycle with suspension ,"Owen Chang, Hua-Chun Huang","Owen Chang, Hua-Chun Huang",2005-08-18,2005-08-18,2005-11-17,,https://patents.google.com/patent/US20050253357A1/en
US5702040A,Bicycle carrier ,Hedeen; Nils E.,Nils E. Hedeen,1994-12-09,1996-07-16,1997-12-30,1997-12-30,https://patents.google.com/patent/US5702040A/en
US6164676A,Variable reduction cross-linkage for rear suspension bicycle ,Trek Bicycle Corporation,Weston M. Wilcox,1998-02-20,1999-02-08,2000-12-26,2000-12-26,https://patents.google.com/patent/US6164676A/en
US20020062207A1,Computer-implemented system and method for simulating motor vehicle and bicycle traffic ,Ardeshir Faghri,Ardeshir Faghri,2000-09-27,2001-09-26,2002-05-23,,https://patents.google.com/patent/US20020062207A1/en
US6321880B2,Detachable fluid cooling system for bicycle disc brake ,Shimano Inc.,Yasushi Nakamura,1998-07-08,2001-02-13,2001-11-27,2001-11-27,https://patents.google.com/patent/US6321880B2/en
US7077789B1,Adjustable magnetic resistance mechanism for upright bikes ,Michael Lin,Ming Nan Chen,2005-05-11,2005-05-11,2006-07-18,2006-07-18,https://patents.google.com/patent/US7077789B1/en
US4030373A,Variable speed drive for a bicycle ,"B-5 Associates Of Stamford, Connecticut",Hamlin Leonard,1975-11-20,1975-11-20,1977-06-21,1977-06-21,https://patents.google.com/patent/US4030373A/en
US20050210675A1,Sealed tubeless tire bicycle wheel ,"Price Chad N, Keith Bontrager","Chad Price, Keith Bontrager",2004-03-26,2004-03-26,2005-09-29,,https://patents.google.com/patent/US20050210675A1/en
US6751992B1,Bicycle mounted locking system for theft prevention ,Pablo Esquilin,Pablo Esquilin,2002-10-24,2002-10-24,2004-06-22,2004-06-22,https://patents.google.com/patent/US6751992B1/en
US5278538A,Bicycle security system ,"Ainsworth Kathryn L, Beezer Mark B","Kathryn L. Ainsworth, Mark B. Beezer",1992-04-20,1992-04-20,1994-01-11,1994-01-11,https://patents.google.com/patent/US5278538A/en
US6190275B1,Bicycle chain anti-snare device ,"Gregory J. Ciancio, John J. Senopole","Gregory J. Ciancio, John J. Senopole",1999-05-26,1999-05-26,2001-02-20,2001-02-20,https://patents.google.com/patent/US6190275B1/en
US5955965A,Bicycle locating system ,Calandruccio; Michael J.,Michael J. Calandruccio,1997-03-10,1997-03-10,1999-09-21,1999-09-21,https://patents.google.com/patent/US5955965A/en
CN1765692A,Small-sized electric motion/power assistance bicycle/tricycle and its controller and sensor ,"李平, 李丽华",李平,2005-11-03,2005-11-03,2006-05-03,,https://patents.google.com/patent/CN1765692A/en
US8469381B2,Bicycle ,"Cycling Sports Group, Inc.","Christopher P. Dodman, Erik Preston Eagleman, Zachary David Krapfl",2010-08-26,2011-08-25,2013-06-25,2013-06-25,https://patents.google.com/patent/US8469381B2/en
US4944340A,Aerodynamic bicycle cover ,Rainey Tortorich,Rainey Tortorich,1989-09-21,1989-09-21,1990-07-31,1990-07-31,https://patents.google.com/patent/US4944340A/en
US6454671B1,Front bicycle derailleur with annular chain guide ,Christopher Alan Wickliffe,Christopher Alan Wickliffe,2000-01-20,2000-01-20,2002-09-24,2002-09-24,https://patents.google.com/patent/US6454671B1/en
DE4027365A1,Bicycle with auxiliary electric drive motor - has overrun coupling between pedals and chain wheel for bicycle chain ,Heinz Schlenk,Heinz Schlenk,1990-08-30,1990-08-30,1992-03-05,,https://patents.google.com/patent/DE4027365A1/en
US6135550A,Bicycle seat ,Tucho; Tafesse,Tafesse Tucho,1999-04-01,1999-04-01,2000-10-24,2000-10-24,https://patents.google.com/patent/US6135550A/en
US6511248B2,Brake wire connecting device for a stunt bike ,Wu Chin-Chang,Chin-chang Wu,2001-04-06,2001-04-06,2003-01-28,2003-01-28,https://patents.google.com/patent/US6511248B2/en
US6267399B1,"Net shape filament winding manufacturing process, articles made therefrom and composite bicycle fork and other components ","Advanced Composites, Inc.","Daniel K. Buckmiller, David Wayne Erickson, Douglas G. Olsen, Randall J. Philpot",1994-08-22,1997-02-03,2001-07-31,2001-07-31,https://patents.google.com/patent/US6267399B1/en
US6863291B2,Bicycle suspension ,"Shimano, Inc.",Hiroyuki Miyoshi,2000-01-13,2003-02-27,2005-03-08,2005-03-08,https://patents.google.com/patent/US6863291B2/en
US3872972A,Bicycle storage device ,"Richard D Cummins, Claire J Cummins","Richard D Cummins, Claire J Cummins",1974-03-11,1974-03-11,1975-03-25,1975-03-25,https://patents.google.com/patent/US3872972A/en
US20060189423A1,Bicycle gear shifting control apparatus ,Shimano Inc.,"Tadashi Ichida, Kazuhiro Fujii, Ryuichiro Takamoto, Masahiko Jimbo",2005-02-18,2005-07-11,2006-08-24,,https://patents.google.com/patent/US20060189423A1/en
US3873127A,Multi-purpose bicycle rack ,Kain S Research And Dev Compan,"Jr Murray C Mcnichol, Raymond Keith Griggs",1973-10-01,1973-10-01,1975-03-25,1975-03-25,https://patents.google.com/patent/US3873127A/en
US5426997A,Bicycle chain drive assembly ,Brion; Donald G.,Donald G. Brion,1993-06-28,1993-06-28,1995-06-27,1995-06-27,https://patents.google.com/patent/US5426997A/en
US20040066017A1,Bicycle drive train ,Dratewski George J.,George Dratewski,2002-10-04,2002-10-04,2004-04-08,,https://patents.google.com/patent/US20040066017A1/en
US4941651A,Bicycle trainer ,Rts Trainer Corporation,Cal M. Phillips,1988-05-13,1988-05-13,1990-07-17,1990-07-17,https://patents.google.com/patent/US4941651A/en
US20020005422A1,Universal bicycle rack using a seat post clamp ,Neil Nusbaum,Neil Nusbaum,1998-08-21,1999-08-19,2002-01-17,,https://patents.google.com/patent/US20020005422A1/en
DE19829750A1,Bicycle for human exercise ,Walter Ebertz,Walter Ebertz,1997-07-04,1998-07-03,1999-02-25,,https://patents.google.com/patent/DE19829750A1/en
US5112071A,Attachment assembly for a bicycle mudguard ,Jones Richard J,Richard J. Jones,1990-05-09,1991-06-11,1992-05-12,1992-05-12,https://patents.google.com/patent/US5112071A/en
US4701152A,Automatic transmission for multi-speed bicycle ,"Robert Dutil, Raymond Gilbert","Robert Dutil, Raymond Gilbert",1986-05-22,1986-05-22,1987-10-20,1987-10-20,https://patents.google.com/patent/US4701152A/en
US3965763A,Bicycle gear shift ,Wechsler Joseph W,Joseph W. Wechsler,1974-06-17,1975-05-27,1976-06-29,1976-06-29,https://patents.google.com/patent/US3965763A/en
US3901095A,Bicycle gear shift ,Joseph W Wechsler,Joseph W Wechsler,1974-06-17,1974-06-17,1975-08-26,1975-08-26,https://patents.google.com/patent/US3901095A/en
KR20110034733A,Bike carrier for vehicle ,차국모,차국모,2009-09-29,2009-09-29,2011-04-06,,https://patents.google.com/patent/KR20110034733A/en
KR100910402B1,A device for direction indicating of bicycle ,엄경희,엄경희,2009-04-24,2009-04-24,2009-08-04,2009-08-04,https://patents.google.com/patent/KR100910402B1/en
DE202004014189U1,"Bicycle has auxiliary drive which in operation is governed at defined nominal RPM which may be fixed or adjustable by rider, preferably in steps, whereby auxiliary drive can be engaged and disengaged ","Gruber, Reinhold",,2003-09-19,2004-09-13,2004-11-11,2004-11-11,https://patents.google.com/patent/DE202004014189U1/en
US5826898A,Modular steering headset for use on a bicycle ,"Fortier; Robert L., Quick; Dennis","Robert L. Fortier, Dennis Quick",1995-12-04,1995-12-04,1998-10-27,1998-10-27,https://patents.google.com/patent/US5826898A/en
US8075010B2,Rear axle system for bicycle ,"Specialized Bicycle Components, Inc.","Jan Talavasek, Robb Jankura, Jeremy Thompson, Brandon Dale Sloan",2010-05-14,2010-05-14,2011-12-13,2011-12-13,https://patents.google.com/patent/US8075010B2/en
US6170845B1,Bicycle frame ,"Merida Industry Co., Ltd.",Diing-huang Tseng,1999-06-09,1999-06-11,2001-01-09,2001-01-09,https://patents.google.com/patent/US6170845B1/en
US4995626A,Foldable tandem bicycle ,Montague Harry D,Harry D. Montague,1989-01-13,1989-01-13,1991-02-26,1991-02-26,https://patents.google.com/patent/US4995626A/en
US5163697A,Bicycle shock absorbing and energy damping apparatus ,Kastan B Linn,B. Linn Kastan,1991-04-22,1991-04-22,1992-11-17,1992-11-17,https://patents.google.com/patent/US5163697A/en
US20030061900A1,Bicycle crank pedal insert ,Smith Garrett Andrew,Garrett Smith,2001-09-28,2002-09-05,2003-04-03,,https://patents.google.com/patent/US20030061900A1/en
US6581494B2,Bicycle riding trainer ,Terry L. Sechler,Terry L. Sechler,2000-03-21,2001-03-21,2003-06-24,2003-06-24,https://patents.google.com/patent/US6581494B2/en
US5460576A,Bicycle chain guide ,Barnett; Robert L.,Robert L. Barnett,1993-10-07,1993-10-07,1995-10-24,1995-10-24,https://patents.google.com/patent/US5460576A/en
US5900705A,Motor control device for a bicycle ,"Shimano, Inc.",Yoshiki Kimura,1997-03-31,1998-03-24,1999-05-04,1999-05-04,https://patents.google.com/patent/US5900705A/en
US20140209400A1,Electromechanical Control System of Electric Bicycle Integrating Smart Mobile Device and Cloud Services ,Li-Ho Yao,"Li-Ho Yao, Sung-Ching Lin",2013-01-25,2013-11-18,2014-07-31,,https://patents.google.com/patent/US20140209400A1/en
US5957473A,Rear suspension bicycle ,Schwinn Cycling & Fitness Inc.,Mert Lawwill,1996-03-15,1996-03-15,1999-09-28,1999-09-28,https://patents.google.com/patent/US5957473A/en
US4267898A,Motorized bicycle conversion apparatus ,Wheaton George B,George B. Wheaton,1979-12-10,1979-12-10,1981-05-19,1981-05-19,https://patents.google.com/patent/US4267898A/en
US5788134A,Liquid carrying apparatus for bicycle ,"Matic, Jr.; Thomas","Thomas Matic, Jr.",1996-02-15,1996-02-15,1998-08-04,1998-08-04,https://patents.google.com/patent/US5788134A/en
US20050206120A1,Bike handlebars adjustment ,"Hsin Lung Accessories Co., Ltd.",Hsueh-Sen Liao,2004-03-09,2004-12-29,2005-09-22,,https://patents.google.com/patent/US20050206120A1/en
US20140375092A1,Bicycle Seat ,Craig Curless,Craig Curless,2013-06-21,2014-06-21,2014-12-25,,https://patents.google.com/patent/US20140375092A1/en
US3827613A,Golf bag bicycle rack ,M Meyer,M Meyer,1972-11-09,1972-11-09,1974-08-06,1974-08-06,https://patents.google.com/patent/US3827613A/en
US20070052286A1,Quick release bicycle wheel ,"David Montague, Harry Montague","David Montague, Harry Montague",2005-09-07,2006-07-20,2007-03-08,,https://patents.google.com/patent/US20070052286A1/en
CN1552490A,Method and apparatus for realizing virtual riding bicycle ,"明 李, 李明, 戎志刚, 高敬义, 刘道强","明 李, 李明, 戎志刚, 高敬义, 刘道强",2003-05-27,2003-05-27,2004-12-08,,https://patents.google.com/patent/CN1552490A/en
US3820662A,Bicycle locking apparatus ,T Steers,T Steers,1973-01-18,1973-01-18,1974-06-28,1974-06-28,https://patents.google.com/patent/US3820662A/en
US7837213B2,Bicycle rear wheel suspension system ,Trek Bicycle Corporation,"James Colegrove, Dylan Howes, Jose Gonzalez",2007-04-16,2007-04-16,2010-11-23,2010-11-23,https://patents.google.com/patent/US7837213B2/en
US7438672B1,Dynamic system for a stationary bicycle ,"Rylander Stephen W, Rylander Nicholas M","Stephen W. Rylander, Nicholas M. Rylander",2006-07-07,2006-07-07,2008-10-21,2008-10-21,https://patents.google.com/patent/US7438672B1/en
US20080054592A1,Bicycle frame construction ,"Gerard Vroomen, Philip White","Gerard Vroomen, Philip White",2006-08-30,2006-08-30,2008-03-06,,https://patents.google.com/patent/US20080054592A1/en
US4928601A,Bike monorail system ,"Leroy Harder, George Spector","Leroy Harder, George Spector",1989-07-10,1989-07-10,1990-05-29,1990-05-29,https://patents.google.com/patent/US4928601A/en
US5497919A,Carrying case for use with a bicycle ,Schwinn Cycling & Fitness Inc.,Paul D. Klinger,1994-09-13,1994-09-13,1996-03-12,1996-03-12,https://patents.google.com/patent/US5497919A/en
US4955600A,Bicycle support and load mechanism ,Schwinn Bicycle Company,"Mark J. Hoffenberg, Robert A. Walpert",1988-03-17,1988-11-29,1990-09-11,1990-09-11,https://patents.google.com/patent/US4955600A/en
US20110105263A1,Multiple Sprocket Assembly for a Bicycle ,Sram Deutschland Gmbh,Henrik Braedt,2009-11-04,2010-11-04,2011-05-05,,https://patents.google.com/patent/US20110105263A1/en
US4323879A,Bicycle safety flasher with optional mounting means for other uses ,Kelley Dale T,Dale T. Kelley,1980-10-10,1980-10-10,1982-04-06,1982-04-06,https://patents.google.com/patent/US4323879A/en
US6776429B2,Bicycle having a crank mechanism for adjusting position of a handle relative to a head tube ,"Giant Manufacturing Co., Ltd.",Joe Chou,2002-05-20,2002-09-05,2004-08-17,2004-08-17,https://patents.google.com/patent/US6776429B2/en
WO1993013974A1,Rear suspension for bicycles ,Horst Leitner,Horst Leitner,1992-01-21,1993-01-21,1993-07-22,,https://patents.google.com/patent/WO1993013974A1/en
US5803477A,Bicycle frame construction ,Reisinger; Robert,Robert Reisinger,1995-09-07,1995-09-07,1998-09-08,1998-09-08,https://patents.google.com/patent/US5803477A/en
US4932651A,Bicycle training device ,Georges Defaux,Georges Defaux,1989-10-03,1989-10-03,1990-06-12,1990-06-12,https://patents.google.com/patent/US4932651A/en
US6336525B1,Disc brake oil pressure adjusting device for bikes ,Tony Leng,Tony Leng,2000-06-19,2000-06-19,2002-01-08,2002-01-08,https://patents.google.com/patent/US6336525B1/en
US4889354A,Eccentrically operating speed-variating means for bicycle ,Maz Wen,Maz Wen,1988-04-08,1987-12-21,1989-12-26,1989-12-26,https://patents.google.com/patent/US4889354A/en
US5737247A,Bicycle accessory with voice synthesis capability ,"Phil Orbanes Productions, Inc.","Ralph Baer, Philip E. Orbanes, Mark Ragoza, James P. Ryan",1996-04-04,1996-04-04,1998-04-07,1998-04-07,https://patents.google.com/patent/US5737247A/en
US5377734A,High efficiency all terrain bicycle or motorcycle tire ,Klein Bicycle Corporation,"Gary G. Klein, Darrell W. Voss",1991-12-13,1991-12-13,1995-01-03,1995-01-03,https://patents.google.com/patent/US5377734A/en
US5337609A,Handlebar structure for a collapsible bicycle ,Hsu Su Yuan,Su-Yuan Hsu,1993-06-07,1993-06-07,1994-08-16,1994-08-16,https://patents.google.com/patent/US5337609A/en
